Fecha,Institución,Pacientes,Positivos,En_estudio
11/05/2020,ISSSTE,0,0,0
11/05/2020,IMSS,0,0,0
11/05/2020,Privados,0,0,0
12/05/2020,SSJ,0,0,0
12/05/2020,HCG,0,0,0
12/05/2020,ISSSTE,0,0,0
12/05/2020,IMSS,0,0,0
12/05/2020,Privados,0,0,0
13/05/2020,SSJ,0,0,0
13/05/2020,HCG,0,0,0
13/05/2020,ISSSTE,0,0,0
13/05/2020,IMSS,0,0,0
13/05/2020,Privados,0,0,0
14/05/2020,SSJ,0,0,0
14/05/2020,HCG,0,0,0
14/05/2020,ISSSTE,0,0,0
14/05/2020,IMSS,0,0,0
14/05/2020,Privados,0,0,0
15/05/2020,SSJ,0,0,0
15/05/2020,HCG,0,0,0
15/05/2020,ISSSTE,0,0,0
15/05/2020,IMSS,0,0,0
15/05/2020,Privados,0,0,0
16/05/2020,SSJ,0,0,0
16/05/2020,HCG,0,0,0
16/05/2020,ISSSTE,0,0,0
16/05/2020,IMSS,0,0,0
16/05/2020,Privados,0,0,0
17/05/2020,SSJ,0,0,0
17/05/2020,HCG,0,0,0
17/05/2020,ISSSTE,0,0,0
17/05/2020,IMSS,0,0,0
17/05/2020,Privados,0,0,0
18/05/2020,SSJ,0,0,0
18/05/2020,HCG,0,0,0
18/05/2020,ISSSTE,0,0,0
18/05/2020,IMSS,0,0,0
18/05/2020,Privados,0,0,0
19/05/2020,SSJ,0,0,0
19/05/2020,HCG,0,0,0
19/05/2020,ISSSTE,0,0,0
19/05/2020,IMSS,0,0,0
19/05/2020,Privados,0,0,0
20/05/2020,SSJ,0,0,0
20/05/2020,HCG,0,0,0
20/05/2020,ISSSTE,0,0,0
20/05/2020,IMSS,0,0,0
20/05/2020,Privados,0,0,0
21/05/2020,SSJ,0,0,0
21/05/2020,HCG,0,0,0
21/05/2020,ISSSTE,0,0,0
21/05/2020,IMSS,0,0,0
21/05/2020,Privados,0,0,0
22/05/2020,SSJ,0,0,0
22/05/2020,HCG,0,0,0
22/05/2020,ISSSTE,0,0,0
22/05/2020,IMSS,0,0,0
22/05/2020,Privados,0,0,0
23/05/2020,SSJ,0,0,0
23/05/2020,HCG,0,0,0
23/05/2020,ISSSTE,0,0,0
23/05/2020,IMSS,0,0,0
23/05/2020,Privados,0,0,0
24/05/2020,SSJ,0,0,0
24/05/2020,HCG,0,0,0
24/05/2020,ISSSTE,0,0,0
24/05/2020,IMSS,0,0,0
24/05/2020,Privados,0,0,0
25/05/2020,SSJ,0,0,0
25/05/2020,HCG,0,0,0
25/05/2020,ISSSTE,0,0,0
25/05/2020,IMSS,0,0,0
25/05/2020,Privados,0,0,0
26/05/2020,SSJ,0,0,0
26/05/2020,HCG,0,0,0
26/05/2020,ISSSTE,0,0,0
26/05/2020,IMSS,0,0,0
26/05/2020,Privados,0,0,0
27/05/2020,SSJ,0,0,0
27/05/2020,HCG,0,0,0
27/05/2020,ISSSTE,0,0,0
27/05/2020,IMSS,0,0,0
27/05/2020,Privados,0,0,0
28/05/2020,SSJ,0,0,0
28/05/2020,HCG,0,0,0
28/05/2020,ISSSTE,0,0,0
28/05/2020,IMSS,0,0,0
28/05/2020,Privados,0,0,0
29/05/2020,SSJ,0,0,0
29/05/2020,HCG,0,0,0
